title,developer,publisher,year,hidden
"Heavy Shreddin'
Snowboard Challenge (PAL)",Imagineering,"Parker Brothers (NA)
Activision (PAL)",1990,FALSE
High Speed,Rare,Tradewest,1991,FALSE
Hogan's Alley,"Nintendo R&D1
Intelligent Systems",Nintendo,1985,FALSE
Hollywood Squares,Rare,GameTek,1989,FALSE
Home Alone,Bethesda Softworks,THQ,1991,FALSE
Home Alone 2: Lost in New York,Imagineering,THQ,1992,FALSE
Hook,Painting by Numbers,"Epic/Sony Records (JP)
Sony Imagesoft (NA)
Ocean Software (PAL)",1992,FALSE
"Hoops
Moero!! Junior Basket (JP)",Aicom,Jaleco,1989,FALSE
Hudson Hawk,Special FX,"Epic/Sony Records (JP)
Sony Imagesoft (NA)
Ocean Software (PAL)",1992,FALSE
"Adventure Island
Takahashi Meijin no Boken Jima (JP)
Adventure Island Classic (PAL)
Adventure Island Classic in the Pacific (FR)",Hudson Soft,Hudson Soft,1988,FALSE
"Hydlide
Hydlide Special (JP)",T&E Soft,"Toshiba EMI (JP)
FCI (NA)",1989,FALSE
Ice Climber,Nintendo R&D1,Nintendo,1985,FALSE
Ice Hockey,"Nintendo R&D2
Nintendo R&D4",Nintendo,1988,FALSE
"Ikari III: The Rescue
Ikari III (JP)",Micronics,"K Amusement (JP)
SNK (NA)",1991,FALSE
"Ikari Warriors
Ikari (JP)",Micronics,"K Amusement (JP)
SNK (NA/PAL)",1987,FALSE
"Ikari Warriors II: Victory Road
Ikari II (JP)",Micronics,"K Amusement (JP)
SNK (NA)",1988,FALSE
Image Fight,,Irem,1990,FALSE
Indiana Jones and the Last Crusade,Software Creations,Taito,1991,FALSE
"Indiana Jones and the Last Crusade
Indy: Indiana Jones and the Last Crusade (PAL)",NMS Software,Ubi Soft,1993,FALSE
Indiana Jones and the Temple of Doom,Tengen,Mindscape,1988,FALSE
Infiltrator,Eastridge Technology,Mindscape,1990,FALSE
"Iron Tank: The Invasion of Normandy
Great Tank (JP)",SNK,SNK,1988,FALSE
Ironsword: Wizards & Warriors II,Zippo Games,Acclaim Entertainment,1989,FALSE
"Isolated Warrior
Max Warrior (JP)",KID,"VAP (JP)
NTVIC (NA)
Nintendo (PAL)",1991,FALSE
Ivan 'Ironman' Stewart's Super Off Road,Rare,"Tradewest (NA)
Nintendo (PAL)",1990,FALSE
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Sculptured Software,Konami,1990,FALSE
Jackal,Konami,Konami,1988,FALSE
"Jackie Chan's Action Kung Fu
Jackie Chan (JP)",Now Production,Hudson Soft,1990,FALSE
James Bond Jr.,Eurocom,THQ,1992,FALSE
Jaws,Escape/Westone,LJN,1987,FALSE
Jeopardy!,Rare,GameTek,1988,FALSE
Jeopardy! 25th Anniversary Edition,Rare,GameTek,1990,FALSE
Jeopardy! Junior Edition,Rare,GameTek,1989,FALSE
Jimmy Connors Tennis,NMS Software,Ubi Soft,1993,FALSE
"Joe & Mac
Joe & Mac: Caveman Ninja (PAL)",Elite Systems,"Data East (NA)
Elite Systems (PAL)",1992,FALSE
John Elway's Quarterback,Rare,Tradewest,1989,FALSE
Jordan vs. Bird: One on One,Rare,Milton Bradley Company,1989,FALSE
"Journey to Silius
Raf World (JP)",Sunsoft,Sunsoft,1990,FALSE
Joust,HAL Laboratory,"HAL Laboratory (JP)
HAL America (NA)",1988,FALSE
Jurassic Park,Ocean Software,Ocean Software,1993,FALSE
"Kabuki: Quantum Fighter
Jigoku Gokuraku Maru (JP)",Human Entertainment,"Pack-In-Video (JP)
HAL America (NA)
Nintendo (PAL)",1991,FALSE
Karate Champ,"Data East
Sakata SAS",Data East,1986,FALSE
Karnov,"Data East
Sakata SAS","Namco (JP)
Data East (NA)",1988,FALSE
Kick Master,KID,Taito,1992,FALSE
"Kickle Cubicle
Meikyuu Shima (JP)",Irem,"Irem (JP/NA)
Nintendo (PAL)",1990,FALSE
Kid Icarus,"Nintendo R&D1
Tose",Nintendo,1987,FALSE
"Kid Klown in Night Mayor World
Mickey Mouse III: Yume Fuusen (JP)",Kemco,Kemco,1993,FALSE
"Kid Kool
Kakefu Kimi no Jump Tengoku (JP)",Vic Tokai,Vic Tokai,1990,FALSE
"Kid Niki: Radical Ninja
Kaiketsu Yancha Maru (JP)",Tose,"Irem (JP)
Data East (NA)",1987,FALSE
King's Knight,"Square
Workss",Square,1989,FALSE
King's Quest V: Absence Makes the Heart Go Yonder!,Novotrade International,Konami,1992,FALSE
Kings of the Beach,Konami,Ultra Games,1990,FALSE
"Kirby's Adventure
Hoshi no Kirby: Yume no Izumi no Monogatari (JP)",HAL Laboratory,Nintendo,1993,FALSE
"Kiwi Kraze
The NewZealand Story (PAL)",Software Creations,"Taito (NA)
Ocean Software (PAL)",1991,FALSE
KlashBall,The Bitmap Brothers,SOFEL,1991,FALSE
